MLocID,SampleStartDate,OrganizationID,StationDes,AU_GNIS_Name,GNIS_Name,MonLocType,HUC12_Name,ELEV_Ft,AU_ID,WaterTypeCode,WaterBodyCode,ben_use_code,OWRD_Basin,EcoRegion2,EcoRegion3,wqstd_code,Pollu_ID,Calc_Crit,Combine_Result_Cmnts,Combine_Result,Activity_Type,SampleMedia,SampleSubmedia,SampleStartTime,SampleStartTZ,chr_uid,Char_Name,Char_Speciation,Sample_Fraction,CASNumber,Result_UID,Result_status,Result_Numeric,IRResultNWQSunit,ActDepthUnit,Result_Depth,act_depth_height,Result_Depth_Unit,Act_Depth_Top,Act_Depth_Top_Unit,Act_Depth_Bottom,Act_Depth_Bottom_Unit,Time_Basis,Statistical_Base,Statistic_N_Value,act_sam_compnt_name,lab_Comments,General_Comments,Analytical_method,QualifierAbbr,QualifierTxt,IDLType,IDLValue,IDLUnit,MDLType,MDLValue,MDLUnit,MRLType,MRLUnit,MRLValue,URLType,URLValue,URLUnit,TribalLand,Result_Operator,Result_Unit,IRWQSUnitName,Result_Type,analysis_comment,Alkalinity,Calcium,Chloride,Conductivity,DOC,Hardness,Magnesium,Organic.carbon,pH,Potassium,Sodium,Sulfate,Temperature..water,TOC,Final.Acute.Value,Cu,Acute.Toxic.Units,Tier,CMC_ug.L,CCC_ug.L,Chronic.Toxic.Unit,Result_Comments
40120-ORDEQ,12/8/2021,CITY_MYRTLECREEK(NOSTORETID),South Umpqua 100 m US of Myrtle CR,South Umpqua River,South Umpqua River,River/Stream,Judd Creek-South Umpqua River,583,OR_SR_1710030211_02_105320,2,2,2,Umpqua,WESTERN CORDILLERA,78,15,45,1,,,Sample-Routine,Water,Surface Water,13:02:00,PST,832,Copper,,Dissolved,7440-50-8,68751462,Validated,0.01,10,,,,,,,,,,,,,,,Metals in Water by ICP-AES,,,,,,Method Detection Level,0.002,mg/l,Minimum Reporting Level,mg/l,0.01,,,,0,<,mg/l,ug/l,Actual,,56.5,12.2,6.6,,580,,5.19,,7.6,0.0712,6.71,6.68,7.2,,134840,0.01,1.4832E-07,0,67422,41877,2.38795E-07,
40120-ORDEQ,12/8/2021,CITY_MYRTLECREEK(NOSTORETID),South Umpqua 100 m US of Myrtle CR,South Umpqua River,South Umpqua River,River/Stream,Judd Creek-South Umpqua River,583,OR_SR_1710030211_02_105320,2,2,2,Umpqua,WESTERN CORDILLERA,78,15,45,1,,,Sample-Routine,Water,Surface Water,13:02:00,PST,832,Copper,,Total Recoverable,7440-50-8,68751459,Validated,0.01,10,,,,,,,,,,,,,,,Metals in Water by ICP-AES,,,,,,Method Detection Level,0.002,mg/l,Minimum Reporting Level,mg/l,0.01,,,,0,<,mg/l,ug/l,Actual,,56.5,12.2,6.6,,580,,5.19,,7.6,0.0712,6.71,6.68,7.2,,134840,0.01,1.4832E-07,0,67422,41877,2.38795E-07,
DES001,6/23/2020,1119USBR_WQX,CRANE PRARIE  .5MILES ABOVE DAM,Deschutes River,Deschutes River,Reservoir,Crane Prairie Reservoir-Deschutes River,4449,OR_LK_1707030101_05_100050,2,6,5,Deschutes,WESTERN CORDILLERA,9,15,45,1,,,Sample-Routine,Water,,13:02:00,PST,832,Copper,,Total,7440-50-8,70778525,Final,2,2,,,,,,,,,,,,,,,Metals in Water by ICP-AES,,,,,,,,,,,,,,,,<,ug/l,ug/l,Actual,,26.6,2.8,0.5,62,,,1.8,,9.92,0.8,3.2,0.5,21.9,11.1,453.2101,2,0.008825931,1,226.605,140.7485,0.014209743,
DES001,6/23/2020,1119USBR_WQX,CRANE PRARIE  .5MILES ABOVE DAM,Deschutes River,Deschutes River,Reservoir,Crane Prairie Reservoir-Deschutes River,4449,OR_LK_1707030101_05_100050,2,6,5,Deschutes,WESTERN CORDILLERA,9,15,45,1,,,Sample-Routine,Water,,13:04:00,PST,832,Copper,,Total,7440-50-8,70778564,Final,2,2,,,,,,,,,,,,,,,Metals in Water by ICP-AES,,,,,,,,,,,,,,,,<,ug/l,ug/l,Actual,,26.6,2.8,0.5,62,,,1.8,,9.92,0.8,3.2,0.5,21.9,11.1,453.2101,2,0.008825931,1,226.605,140.7485,0.014209743,
Klamath_Ambient1,7/23/2019,CITY_KLAMATHFALLS(NOSTORETID),Lake Euwana at Boat Ramp,Klamath River,,River/Stream,Klamath Falls-Klamath River,4086,OR_LK_1801020412_88_100474,2,8,88,Klamath,WESTERN CORDILLERA,9,15,45,1,,,Sample-Routine,Water,,10:00:00,PDT,832,Copper,,Dissolved,7440-50-8,56371323,Validated,1.02,1.02,,,,,,,,,,,,,,,200.8 ~ EPA; Metals in Waters by ICP/MS,,,,,,Method Detection Level,0.05,ug/l,Minimum Reporting Level,ug/l,0.1,,,,,=,ug/l,ug/l,Actual,,52,7.24,3.1,196,6.5,33.8,3.81,,9.54,2.37,10.3,4.11,23.6,,300.6361,1.02,0.00678561,0,150.3181,93.3653,0.01092483,
Klamath_Ambient1,7/23/2019,CITY_KLAMATHFALLS(NOSTORETID),Lake Euwana at Boat Ramp,Klamath River,,River/Stream,Klamath Falls-Klamath River,4086,OR_LK_1801020412_88_100474,2,8,88,Klamath,WESTERN CORDILLERA,9,15,45,1,,,Sample-Routine,Water,,10:00:00,PDT,832,Copper,,Total Recoverable,7440-50-8,56371326,Validated,1.25,1.25,,,,,,,,,,,,,,,200.8 ~ EPA; Metals in Waters by ICP/MS,,,,,,Method Detection Level,0.05,ug/l,Minimum Reporting Level,ug/l,0.1,,,,,=,ug/l,ug/l,Actual,,52,7.24,3.1,196,6.5,33.8,3.81,,9.54,2.37,10.3,4.11,23.6,,300.6361,1.02,0.008315699,0,150.3181,93.3653,0.013388272,
POW020,7/8/2021,1119USBR_WQX,THIEF VALLEY 200METERS ABOVE DAM,Powder River,Powder River,Reservoir,Thief Valley Reservoir-Powder River,3137,OR_LK_1705020306_05_100597,2,6,5,Powder,WESTERN CORDILLERA,11,15,45,1,,,Sample-Routine,Water,,11:05:00,MST,832,Copper,,Total,7440-50-8,70790491,Final,5,5,,,,,,,,,,,,,,,Metals in Water by ICP-AES,,,,,,,,,,,,,,,0,<,ug/l,ug/l,Actual,,153,26,6.3,284,,,8.4,,9,4.3,26.5,13,23.7,8.69,293.8367,5,0.034032497,1,146.9184,91.2536,0.054792359,
POW020,7/8/2021,1119USBR_WQX,THIEF VALLEY 200METERS ABOVE DAM,Powder River,Powder River,Reservoir,Thief Valley Reservoir-Powder River,3137,OR_LK_1705020306_05_100597,2,6,5,Powder,WESTERN CORDILLERA,11,15,45,1,,,Sample-Routine,Water,,11:08:00,MST,832,Copper,,Total,7440-50-8,70790535,Final,2.9,2.9,,,,,,,,,,,,,,,Metals in Water by ICP-AES,,,,,,,,,,,,,,,0,=,ug/l,ug/l,Actual,,153,26,6.3,284,,,8.4,,9,4.3,26.5,13,23.7,8.69,293.8367,5,0.019738848,1,146.9184,91.2536,0.031779568,
Klamath_Ambient1,8/13/2019,CITY_KLAMATHFALLS(NOSTORETID),Lake Euwana at Boat Ramp,Klamath River,,River/Stream,Klamath Falls-Klamath River,4086,OR_LK_1801020412_88_100474,2,8,88,Klamath,WESTERN CORDILLERA,9,15,45,1,,,Sample-Routine,Water,,10:00:00,PDT,832,Copper,,Total Recoverable,7440-50-8,56414392,Validated,0.82,0.82,,,,,,,,,,,,,,,200.8 ~ EPA; Metals in Waters by ICP/MS,,,,,,Method Detection Level,0.05,ug/l,Minimum Reporting Level,ug/l,0.1,,,,,=,ug/l,ug/l,Actual,,50,7.02,2.37,180,7.09,32.3,3.58,,9.4,2.2,9.91,1.84,20.7,,287.7363,0.55,0.005699665,0,143.8681,89.3591,0.009176458,
Klamath_Ambient1,8/13/2019,CITY_KLAMATHFALLS(NOSTORETID),Lake Euwana at Boat Ramp,Klamath River,,River/Stream,Klamath Falls-Klamath River,4086,OR_LK_1801020412_88_100474,2,8,88,Klamath,WESTERN CORDILLERA,9,15,45,1,,,Sample-Routine,Water,,10:00:00,PDT,832,Copper,,Dissolved,7440-50-8,56414389,Validated,0.55,0.55,,,,,,,,,,,,,,,200.8 ~ EPA; Metals in Waters by ICP/MS,,,,,,Method Detection Level,0.05,ug/l,Minimum Reporting Level,ug/l,0.1,,,,,=,ug/l,ug/l,Actual,,50,7.02,2.37,180,7.09,32.3,3.58,,9.4,2.2,9.91,1.84,20.7,,287.7363,0.55,0.003822946,0,143.8681,89.3591,0.006154941,
