"OrganizationID","MLocID","StationDes","AU_GNIS_Name","GNIS_Name","MonLocType","HUC12_Name","ELEV_Ft","AU_ID","WaterTypeCode","WaterBodyCode","ben_use_code","OWRD_Basin","EcoRegion2","EcoRegion3","wqstd_code","Pollu_ID","Calc_Crit","Combine_Result_Cmnts","Combine_Result","Activity_Type","SampleMedia","SampleSubmedia","SampleStartDate","SampleStartTime","SampleStartTZ","chr_uid","Char_Name","Char_Speciation","Sample_Fraction","CASNumber","Result_UID","Result_status","Result_Numeric","IRResultNWQSunit","ActDepthUnit","Result_Depth","act_depth_height","Result_Depth_Unit","Act_Depth_Top","Act_Depth_Top_Unit","Act_Depth_Bottom","Act_Depth_Bottom_Unit","Time_Basis","Statistical_Base","Statistic_N_Value","act_sam_compnt_name","lab_Comments","General_Comments","Analytical_method","QualifierAbbr","QualifierTxt","IDLType","IDLValue","IDLUnit","MDLType","MDLValue","MDLUnit","MRLType","MRLUnit","MRLValue","URLType","URLValue","URLUnit","TribalLand","Result_Operator","Result_Unit","IRWQSUnitName","Result_Type","analysis_comment","Alkalinity","Calcium","Chloride","Conductivity","DOC","Hardness","Magnesium","Organic.carbon","pH","Potassium","Sodium","Sulfate","Temperature..water","TOC"
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water",NA,2019-08-29,"11:15:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",58433199,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,26,5.81,3.52,73,1.48,22.1,1.84,NA,7.7,0.95,4.74,3.47,21.1,1.34
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water",NA,2019-08-29,"11:15:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",58433200,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,26,5.81,3.52,73,1.48,22.1,1.84,NA,7.7,0.95,4.74,3.47,21.1,1.34
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2020-06-24,"15:00:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",67862599,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,26,5.43,2.4,67,1.39,21.3,1.88,NA,7.1,0.74,4.32,2.39,21.7,1.38
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2020-06-24,"15:00:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",67862598,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,26,5.43,2.4,67,1.39,21.3,1.88,NA,7.1,0.74,4.32,2.39,21.7,1.38
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2020-11-16,"15:45:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",69089434,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,20,5.04,2.76,60,2.56,19,1.56,NA,7.5,0.86,3.53,2.64,10.1,2.56
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2020-11-16,"15:45:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",69089435,"Final",2.32,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"=","ug/l","ug/l","Actual",NA,20,5.04,2.76,60,2.56,19,1.56,NA,7.5,0.86,3.53,2.64,10.1,2.56
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2021-02-02,"13:18:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",69550240,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,29,8.08,3.84,91,2.58,30.9,2.6,NA,7.4,1.01,4.24,4.12,8.4,2.79
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2021-02-02,"13:18:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",69550241,"Final",2.64,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"=","ug/l","ug/l","Actual",NA,29,8.08,3.84,91,2.58,30.9,2.6,NA,7.4,1.01,4.24,4.12,8.4,2.79
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2021-05-11,"10:47:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",69601784,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,28,6.08,3.56,75,1.52,23.8,2.09,NA,7.4,0.75,4.54,2.94,14.6,1.39
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2021-05-11,"10:47:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",69601785,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,28,6.08,3.56,75,1.52,23.8,2.09,NA,7.4,0.75,4.54,2.94,14.6,1.39
