"OrganizationID","MLocID","StationDes","AU_GNIS_Name","GNIS_Name","MonLocType","HUC12_Name","ELEV_Ft","AU_ID","WaterTypeCode","WaterBodyCode","ben_use_code","OWRD_Basin","EcoRegion2","EcoRegion3","wqstd_code","Pollu_ID","Calc_Crit","Combine_Result_Cmnts","Combine_Result","Activity_Type","SampleMedia","SampleSubmedia","SampleStartDate","SampleStartTime","SampleStartTZ","chr_uid","Char_Name","Char_Speciation","Sample_Fraction","CASNumber","Result_UID","Result_status","Result_Numeric","IRResultNWQSunit","ActDepthUnit","Result_Depth","act_depth_height","Result_Depth_Unit","Act_Depth_Top","Act_Depth_Top_Unit","Act_Depth_Bottom","Act_Depth_Bottom_Unit","Time_Basis","Statistical_Base","Statistic_N_Value","act_sam_compnt_name","lab_Comments","General_Comments","Analytical_method","QualifierAbbr","QualifierTxt","IDLType","IDLValue","IDLUnit","MDLType","MDLValue","MDLUnit","MRLType","MRLUnit","MRLValue","URLType","URLValue","URLUnit","TribalLand","Result_Operator","Result_Unit","IRWQSUnitName","Result_Type","Time_Basis...44","Time_Basis...46","analysis_comment","Alkalinity","Calcium","Chloride","Conductivity","DOC","Hardness","Magnesium","Organic.carbon","pH","Potassium","Sodium","Sulfate","Temperature..water","TOC"
"OREGONDEQ","10456-ORDEQ","Tualatin River at Boones Ferry Road","Tualatin River","Tualatin River","River/Stream","Saum Creek-Tualatin River",117,"OR_SR_1709001005_02_104018",2,2,2,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2019-08-29,"15:08:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",58433591,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,NA,NA,59,21.9,32.9,443,3.48,75.3,5.01,NA,7.3,6.71,49.8,79.3,22.6,3.53
"OREGONDEQ","10456-ORDEQ","Tualatin River at Boones Ferry Road","Tualatin River","Tualatin River","River/Stream","Saum Creek-Tualatin River",117,"OR_SR_1709001005_02_104018",2,2,2,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2019-08-29,"15:08:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",58433592,"Final",1.63,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"=","ug/l","ug/l","Actual",NA,NA,NA,59,21.9,32.9,443,3.48,75.3,5.01,NA,7.3,6.71,49.8,79.3,22.6,3.53
"OREGONDEQ","10456-ORDEQ","Tualatin River at Boones Ferry Road","Tualatin River","Tualatin River","River/Stream","Saum Creek-Tualatin River",117,"OR_SR_1709001005_02_104018",2,2,2,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2020-01-30,"11:45:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",62812274,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,NA,NA,27,7.73,4.95,95,2.98,29.4,2.46,NA,7.1,1.53,5.21,5.74,9.2,2.5
"OREGONDEQ","10456-ORDEQ","Tualatin River at Boones Ferry Road","Tualatin River","Tualatin River","River/Stream","Saum Creek-Tualatin River",117,"OR_SR_1709001005_02_104018",2,2,2,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2020-01-30,"11:45:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",62812275,"Final",3.96,3.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"=","ug/l","ug/l","Actual",NA,NA,NA,27,7.73,4.95,95,2.98,29.4,2.46,NA,7.1,1.53,5.21,5.74,9.2,2.5
"OREGONDEQ","10456-ORDEQ","Tualatin River at Boones Ferry Road","Tualatin River","Tualatin River","River/Stream","Saum Creek-Tualatin River",117,"OR_SR_1709001005_02_104018",2,2,2,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2020-06-25,"16:00:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",67862972,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,NA,NA,59,16.7,18.8,230,3.61,60.8,4.66,NA,7.3,4.12,24.8,24.7,22,3.4
"OREGONDEQ","10456-ORDEQ","Tualatin River at Boones Ferry Road","Tualatin River","Tualatin River","River/Stream","Saum Creek-Tualatin River",117,"OR_SR_1709001005_02_104018",2,2,2,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2020-06-25,"16:00:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",67862973,"Final",2.12,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"=","ug/l","ug/l","Actual",NA,NA,NA,59,16.7,18.8,230,3.61,60.8,4.66,NA,7.3,4.12,24.8,24.7,22,3.4
"OREGONDEQ","10456-ORDEQ","Tualatin River at Boones Ferry Road","Tualatin River","Tualatin River","River/Stream","Saum Creek-Tualatin River",117,"OR_SR_1709001005_02_104018",2,2,2,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2020-09-21,"10:57:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",69062240,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,NA,NA,53,15.5,21.3,277,3.07,57.2,4.5,NA,7.2,4.38,27.8,33.2,17.2,2.96
"OREGONDEQ","10456-ORDEQ","Tualatin River at Boones Ferry Road","Tualatin River","Tualatin River","River/Stream","Saum Creek-Tualatin River",117,"OR_SR_1709001005_02_104018",2,2,2,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2020-09-21,"10:57:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",69062241,"Final",1.74,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"=","ug/l","ug/l","Actual",NA,NA,NA,53,15.5,21.3,277,3.07,57.2,4.5,NA,7.2,4.38,27.8,33.2,17.2,2.96
"OREGONDEQ","10456-ORDEQ","Tualatin River at Boones Ferry Road","Tualatin River","Tualatin River","River/Stream","Saum Creek-Tualatin River",117,"OR_SR_1709001005_02_104018",2,2,2,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2021-02-01,"13:18:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",69547391,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,NA,NA,39,10.8,7.37,133,2.28,41.7,3.58,NA,7.3,1.66,7.12,6.88,8.1,2.25
"OREGONDEQ","10456-ORDEQ","Tualatin River at Boones Ferry Road","Tualatin River","Tualatin River","River/Stream","Saum Creek-Tualatin River",117,"OR_SR_1709001005_02_104018",2,2,2,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2021-02-01,"13:18:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",69547392,"Final",1.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"200.8 ~ EPA; Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"=","ug/l","ug/l","Actual",NA,NA,NA,39,10.8,7.37,133,2.28,41.7,3.58,NA,7.3,1.66,7.12,6.88,8.1,2.25
